dwarf,mFD/keV,2sl,1sl,1su,2su
CVnI,0.25521951200204906,0.07819425027166066,0.1362364249884565,0.479391925848315,0.8004420560296637
LeoII,0.3238731947898417,0.15484606474702564,0.2164373185537488,0.47803605954333583,0.6863962317856162
And21,0.17213877516794543,0.06045453768965338,0.09449581588533187,0.30618975061065984,0.49548033129404023
Carina,0.12505955816417638,0.04423612369204392,0.06996028392626803,0.2618734181183777,0.5007346602653708
LeoI,0.1935219116734412,0.09291520574715674,0.12995645514045248,0.3055215335635386,0.4708908936789736
Fornax,0.06765936018331128,0.04304391375684203,0.052051263460448464,0.09789192764285007,0.15067960408338427
SegI,0.6751572677904786,0.0338541848091235,0.1840845355314733,1.3625363468189857,2.2218907929433875
Draco,0.14272511019092837,0.07367392464412846,0.10462179740003436,0.1998811745850307,0.27937767307576156
Sculptor,0.12338548264944582,0.06995117824535209,0.08892203248445742,0.17470236832567418,0.2364566285351423
UMi,0.14571684471545227,0.07643527152065065,0.10017493741618512,0.21514900039819249,0.31011359038309677
Sextans,0.2355830014001685,0.09518294127011465,0.1452255637964294,0.39364612289908657,0.658708441847122
