dwarf,mFD/keV,2sl,1sl,1su,2su
CVnI,0.9122195141126341,0.18841433988962925,0.3950073512098415,2.1141468319984043,4.187814069064303
LeoII,1.253278338883406,0.46854116895805215,0.7322460757581895,2.106177991401571,3.4117776037581193
Carina,0.3524006600070865,0.0881556756127164,0.16243624605696025,0.944066852070516,2.240565949221804
LeoI,0.6307458287482515,0.23713550517453783,0.3709180788909333,1.15949788348806,2.0643084123324154
Fornax,0.1553524268241137,0.08500214071633515,0.10951053336588508,0.2542201869974126,0.4518075531556984
SegI,3.3374962713226615,0.061711202252370805,0.5900705428355981,8.511608798966126,16.337206766813914
Draco,0.42028901824486214,0.1740333982681933,0.2777860479003485,0.6585317475719806,1.029128931589478
Sculptor,0.3461249814699295,0.16240805748183113,0.22364543309800083,0.5503165617845949,0.8239158364299075
UMi,0.4320763922622613,0.18278446279717445,0.26215589794682326,0.7264403684395486,1.1827925815685076
Sextans,0.8198595512759375,0.24488359241467733,0.43013517061618406,1.6256317179522428,3.2295238701968176
