dwarf,FG/Msols^3km^-3kpc^-3,2sl,1sl,1su,2su
CVnI,342807.96794537175,2680.3951690798926,21428.581098743278,2195539.2156972904,3264392.4923179494
LeoII,363441.1077239243,15001.286015920648,63105.77161105097,1468845.6262009318,2641542.6085742186
And21,21580.747637300396,803.97141386936,4846.554315592875,35718.56486186813,49020.34203964891
Carina,73372.82533595501,38.3519286204567,8022.893693306178,607057.6025214604,2333212.3161626826
LeoI,76032.92373698931,2115.8895031802945,11788.416988826655,599414.1023503708,1882062.8354146953
Fornax,983.1414646817194,17.07716580870697,200.77224097940282,6547.003858034159,68715.8274770609
SegI,5799072.113436998,1.370128963579802,807752.9134787222,26519942.68805274,98052368.70072937
Draco,30746.15142340773,830.8840859035081,7142.395525706288,129847.5505172037,503670.16309050476
Sculptor,10795.636063209353,342.3531112897044,2580.1010226052454,46417.64231134806,218297.79181593453
UMi,19405.96747630139,667.7751691149373,4359.063467547919,99702.6993761664,506106.12632916996
Sextans,141084.71289680694,2976.918090137829,16301.24033981404,1116563.5429236821,2680399.03385983
