dwarf,mFD/keV,2sl,1sl,1su,2su
CVnI,0.2537175185394786,0.07877241609481372,0.13717700549798006,0.46659157157262204,0.7581853644233699
LeoII,0.3229723257352668,0.15651523321249367,0.21836671787170173,0.4675534112351818,0.6554830221760158
And21,0.16907593650190295,0.05850323006288019,0.09364252948301623,0.29461540491866584,0.4662504674603662
Carina,0.12501340830254373,0.04427321315053443,0.06999873061859092,0.2596478464317548,0.4846674630131156
LeoI,0.19326022855623778,0.09359891292127445,0.13067476557060012,0.30122119906781325,0.45476734177600747
Fornax,0.06765234642763102,0.043189863044240245,0.052146055915127394,0.09745981453001377,0.14893694733739846
SegI,0.6727629588025199,0.03386903842605716,0.1839904627338977,1.3319308108240793,2.1294839374271124
Draco,0.14269747132067698,0.07386538910414796,0.10485706092258527,0.19873887761674777,0.27508055280184557
Sculptor,0.12334397777607997,0.07015442828343038,0.08911125263400095,0.1736426732400242,0.23287268334451655
UMi,0.14563575433736636,0.07681685757106643,0.10053688142934981,0.21278151764644684,0.3016572142256729
Sextans,0.23497220869367605,0.09607229352087361,0.1464797846924285,0.3842317478913876,0.6269280981879592
