dwarf,mdeg/keV,2sl,1sl,1su,2su
CVnI,0.21335015182691539,0.06623944231500287,0.11535165217849051,0.3923551799230149,0.637555355041443
LeoII,0.2715862709369408,0.13161309854098505,0.18362379026903322,0.3931639874473102,0.5511933236074829
And21,0.14217534891011485,0.0491951564406393,0.07874366735755862,0.2477410378746277,0.39206834669779067
Carina,0.10512332690025797,0.03722918623004801,0.05886168164948354,0.2183369432928096,0.4075551322378412
LeoI,0.16251183340405392,0.07870699034714428,0.10988394193243717,0.2532958264945497,0.3824122274739055
Fornax,0.05688861559449736,0.03631820100920051,0.043849431488650385,0.08195360866958046,0.12524054511484964
SegI,0.5657239603725214,0.02848035300056178,0.15471692055380673,1.1200158441879418,1.790675409322824
Draco,0.119993792099327,0.06211314090899881,0.08817392664384231,0.16711880975946988,0.2313142507570821
Sculptor,0.10371950875503948,0.05899260725771042,0.07493333289869954,0.14601550146260844,0.19582180463491736
UMi,0.12246458375506199,0.06459502016256492,0.08454110319472802,0.17892721542114215,0.25366247007779014
Sextans,0.19758728797475986,0.0807868472269053,0.12317432585499907,0.32309909942853676,0.5271815903880838
