dwarf,vesc/kms^-1,2sl,1sl,1su,2su
CVnI,44.265664440492614,26.373386372840447,33.37204418497466,63.14245121955396,97.77842082820997
LeoII,43.96129022527739,31.009597163673565,36.56425230235741,54.7940603157121,70.1114066478912
And21,26.174665092639525,13.971893164841246,19.336983064930816,35.182255732675905,45.2181553489
Carina,99.98853942549155,32.6948496541154,53.46989396543533,166.20954405121395,251.17659396492334
LeoI,64.02816703202778,40.89274192881808,50.45972279910939,81.27342990293408,104.35203869120471
Fornax,118.5016715593115,75.2868044336274,93.67327775556572,142.5799590490515,164.39262365125666
SegI,29.107387675170393,11.363383103646468,16.01070897486864,117.96847707529767,808.7858000437532
Draco,95.1842378785175,61.2605385844237,76.00470435181106,122.22945625447097,172.38296711481271
Sculptor,88.2502819441912,57.62072231737094,68.15101726269438,117.1522790705812,144.46308063668718
UMi,71.35714077977184,45.254722436689356,54.512078349103334,96.6219896706552,121.94044452210746
Sextans,46.38676707510322,31.724181010240105,37.598882188895786,61.94852701721738,87.05562707388334
